,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON
0,Jaylen Brown,SG,23,BOS,17,17,672,10.1,21.3,.476,3.2,8.9,.358,7.0,12.4,.560,3.9,4.7,.841,1.8,7.6,9.4,2.9,1.9,0.7,3.0,3.6,27.4,,110,106,2019-20
1,Carsen Edwards,SG,21,BOS,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,16.6,16.6,0.0,0.0,0.0,0.0,0.0,0.0,,,106,2019-20
2,Tacko Fall,C,24,BOS,2,0,3,16.6,16.6,1.000,0.0,0.0,,16.6,16.6,1.000,16.6,33.2,.500,0.0,16.6,16.6,0.0,0.0,0.0,0.0,0.0,49.8,,152,106,2019-20
3,Javonte Green,SG,26,BOS,1,0,6,8.3,16.6,.500,8.3,16.6,.500,0.0,0.0,,0.0,0.0,,0.0,8.3,8.3,0.0,0.0,0.0,0.0,8.3,24.9,,140,110,2019-20
4,Gordon Hayward,SF,29,BOS,5,1,157,6.3,15.9,.400,2.2,7.6,.292,4.1,8.2,.500,2.2,2.5,.875,1.0,5.4,6.3,4.4,2.2,0.6,2.2,3.2,17.1,,102,106,2019-20
5,Enes Kanter,C,27,BOS,11,0,102,10.7,20.5,.524,0.5,0.5,1.000,10.2,20.0,.512,2.4,4.9,.500,9.3,11.7,21.0,3.4,0.0,0.0,2.0,9.3,24.4,,119,108,2019-20
6,Romeo Langford,SG,20,BOS,7,0,46,4.3,10.8,.400,1.1,2.2,.500,3.2,8.7,.375,1.1,2.2,.500,0.0,3.2,3.2,2.2,1.1,0.0,2.2,4.3,10.8,,84,111,2019-20
7,Semi Ojeleye,PF,25,BOS,13,0,122,2.9,11.4,.250,2.0,9.4,.217,0.8,2.0,.400,0.8,0.8,1.000,0.8,4.1,4.9,0.4,1.2,0.0,0.4,3.7,8.6,,80,110,2019-20
8,Vincent Poirier,C,26,BOS,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,24.9,24.9,0.0,0.0,0.0,0.0,,232,59,2019-20
9,Marcus Smart,SG,25,BOS,17,16,648,6.0,15.2,.394,3.1,9.4,.333,2.8,5.8,.493,3.8,4.3,.875,0.8,6.1,6.8,6.0,1.6,0.6,3.5,4.2,18.9,,106,107,2019-20
10,Jayson Tatum,PF,21,BOS,17,17,690,10.5,24.1,.434,3.4,9.1,.373,7.1,15.0,.471,7.2,8.9,.813,1.6,10.7,12.3,6.1,1.2,1.4,3.5,3.0,31.5,,112,104,2019-20
11,Daniel Theis,C,27,BOS,17,17,482,6.3,12.1,.521,0.4,2.7,.154,5.9,9.4,.626,2.7,3.4,.788,3.3,9.2,12.5,2.6,0.6,2.2,1.5,6.8,15.7,,119,106,2019-20
12,Kemba Walker,PG,29,BOS,17,17,628,9.0,20.3,.441,3.1,10.0,.310,5.9,10.3,.569,5.5,6.4,.852,0.5,5.0,5.5,6.8,1.2,0.6,2.5,3.4,26.5,,116,109,2019-20
13,Brad Wanamaker,PG,30,BOS,17,0,273,5.3,10.9,.483,2.2,4.9,.444,3.1,6.0,.515,2.6,2.9,.875,0.4,5.8,6.2,5.5,2.2,0.7,3.3,5.8,15.3,,110,106,2019-20
14,Tremont Waters,PG,22,BOS,1,0,2,0.0,24.9,.000,0.0,24.9,.000,0.0,0.0,,0.0,0.0,,0.0,24.9,24.9,24.9,0.0,0.0,0.0,0.0,0.0,,56,101,2019-20
15,Grant Williams,PF,21,BOS,17,0,170,4.4,7.6,.577,2.9,5.0,.588,1.5,2.6,.556,2.0,2.9,.700,2.0,5.6,7.6,1.8,0.6,1.5,1.2,9.7,13.8,,142,109,2019-20
16,Robert Williams,C,22,BOS,13,0,149,7.7,10.4,.742,0.0,0.3,.000,7.7,10.0,.767,0.7,2.0,.333,7.3,9.7,17.0,3.3,1.0,2.0,2.3,6.0,16.0,,137,105,2019-20
17,Jarrett Allen,C,21,BRK,4,4,132,4.9,8.4,.583,0.0,0.0,,4.9,8.4,.583,4.6,5.6,.813,6.0,14.8,20.7,3.2,0.7,2.5,3.9,2.5,14.4,,117,117,2019-20
18,Justin Anderson,SG,26,BRK,3,0,28,8.3,19.9,.417,8.3,18.2,.455,0.0,1.7,.000,6.6,6.6,1.000,0.0,13.3,13.3,5.0,0.0,1.7,3.3,3.3,31.5,,121,120,2019-20
19,Chris Chiozza,PG,24,BRK,4,0,65,5.7,17.1,.333,3.6,11.4,.313,2.1,5.7,.375,1.4,2.9,.500,0.7,3.6,4.3,12.1,3.6,0.0,2.1,5.0,16.4,,104,119,2019-20
20,Donta Hall,C,22,BRK,3,0,20,7.0,11.6,.600,0.0,0.0,,7.0,11.6,.600,2.3,9.3,.250,7.0,4.6,11.6,0.0,0.0,4.6,2.3,2.3,16.2,,100,120,2019-20
21,Joe Harris,SF,28,BRK,2,2,72,7.7,14.8,.522,4.5,7.7,.583,3.2,7.1,.455,1.3,2.6,.500,1.3,11.6,12.9,1.3,0.6,0.0,1.9,5.8,21.3,,112,122,2019-20
22,Tyler Johnson,SG,27,BRK,4,2,93,10.5,22.9,.457,5.5,14.0,.393,5.0,9.0,.556,1.0,1.0,1.000,0.0,3.5,3.5,4.5,0.0,0.5,1.5,5.5,27.4,,110,127,2019-20
23,Rodions Kurucs,PF,21,BRK,4,1,58,8.8,16.0,.550,0.0,6.4,.000,8.8,9.6,.917,0.0,1.6,.000,2.4,8.0,10.4,2.4,0.8,1.6,2.4,7.2,17.6,,95,121,2019-20
24,Caris LeVert,SG,25,BRK,4,4,140,8.9,24.2,.370,3.0,7.0,.429,6.0,17.2,.346,6.0,8.3,.720,2.7,5.3,8.0,12.6,1.7,0.3,4.3,2.3,26.8,,104,122,2019-20
26,Jeremiah Martin,PG,23,BRK,3,0,27,6.9,24.0,.286,5.2,8.6,.600,1.7,15.5,.111,1.7,1.7,1.000,0.0,5.2,5.2,6.9,0.0,1.7,3.4,3.4,20.6,,83,124,2019-20
27,Timothé Luwawu-Cabarrot,SF,20,BRK,3,0,39,2.4,13.1,.182,0.0,7.1,.000,2.4,5.9,.400,11.9,16.6,.714,1.2,2.4,3.6,4.8,0.0,1.2,3.6,2.4,16.6,,86,127,2019-20
28,Garrett Temple,SG,33,BRK,4,4,137,5.8,16.6,.347,3.0,12.2,.250,2.7,4.4,.615,1.7,2.0,.833,0.0,3.7,3.7,2.7,1.0,0.3,2.0,4.1,16.2,,87,125,2019-20
29,Lance Thomas,PF,31,BRK,3,0,17,2.7,13.6,.200,0.0,5.5,.000,2.7,8.2,.333,5.5,10.9,.500,2.7,5.5,8.2,0.0,0.0,2.7,0.0,5.5,10.9,,73,123,2019-20
30,J.J. Barea,PG,35,DAL,1,0,5,0.0,9.4,.000,0.0,0.0,,0.0,9.4,.000,28.2,28.2,1.000,0.0,0.0,0.0,0.0,0.0,0.0,9.4,9.4,28.2,,96,129,2019-20
31,Trey Burke,PG,27,DAL,6,3,156,9.0,17.8,.508,2.4,5.1,.471,6.6,12.7,.524,1.8,3.0,.600,0.6,5.1,5.7,3.6,2.4,0.6,1.8,4.2,22.3,,112,120,2019-20
32,Antonius Cleveland,SG,25,DAL,2,0,9,10.5,26.1,.400,0.0,0.0,,10.5,26.1,.400,0.0,0.0,,5.2,0.0,5.2,0.0,5.2,0.0,0.0,5.2,20.9,,92,117,2019-20
33,Seth Curry,SG,29,DAL,6,0,173,8.4,14.4,.585,2.7,5.7,.476,5.7,8.7,.656,1.4,1.4,1.000,0.5,2.4,3.0,2.2,1.6,0.0,2.2,3.8,20.9,,122,124,2019-20
34,Luka Dončić,PG,20,DAL,6,6,215,14.0,28.0,.500,3.5,9.6,.364,10.5,18.4,.571,9.2,14.0,.656,0.9,12.0,12.9,11.4,1.5,0.7,6.8,3.7,40.7,,111,119,2019-20
35,Dorian Finney-Smith,PF,26,DAL,6,6,191,5.7,12.8,.442,2.7,7.4,.367,3.0,5.4,.545,1.0,1.2,.800,3.0,5.4,8.4,4.7,1.7,0.7,2.2,5.4,15.0,,114,122,2019-20
36,Tim Hardaway,SG,27,DAL,6,6,204,9.2,21.9,.421,4.4,12.5,.352,4.8,9.5,.512,1.8,2.5,.727,0.7,4.2,4.8,2.5,0.5,0.0,0.7,3.7,24.7,,109,126,2019-20
37,Justin Jackson,PF,24,DAL,3,0,16,2.9,17.6,.167,0.0,8.8,.000,2.9,8.8,.333,5.9,11.8,.500,0.0,8.8,8.8,0.0,0.0,0.0,0.0,2.9,11.8,,57,125,2019-20
38,Michael Kidd-Gilchrist,PF,26,DAL,6,0,55,3.4,12.0,.286,1.7,7.7,.222,1.7,4.3,.400,3.4,5.1,.667,1.7,3.4,5.1,2.6,0.9,0.9,0.9,6.8,12.0,,97,124,2019-20
39,Maxi Kleber,PF,28,DAL,6,6,203,3.0,9.0,.333,1.2,6.0,.192,1.9,3.0,.615,2.1,2.8,.750,2.3,6.7,9.0,2.1,0.5,1.6,0.9,4.6,9.3,,104,123,2019-20
40,Boban Marjanović,C,31,DAL,6,0,82,9.8,17.2,.567,0.0,0.6,.000,9.8,16.6,.586,4.0,5.2,.778,3.4,16.6,20.1,2.9,0.0,1.1,1.7,5.2,23.5,,122,120,2019-20
41,Kristaps Porziņģis,C,24,DAL,3,3,94,10.5,20.0,.525,4.5,8.5,.529,6.0,11.5,.522,10.0,11.5,.870,1.5,11.5,13.0,1.0,0.0,1.5,1.5,4.5,35.5,,137,122,2019-20
42,Josh Reaves,SF,22,DAL,2,0,9,5.2,15.7,.333,0.0,5.2,.000,5.2,10.5,.500,10.5,10.5,1.000,0.0,10.5,10.5,5.2,0.0,5.2,5.2,5.2,20.9,,94,117,2019-20
43,Delon Wright,PG,27,DAL,4,0,53,5.3,8.9,.600,0.9,1.8,.500,4.4,7.1,.625,2.7,4.4,.600,0.9,1.8,2.7,6.2,4.4,0.0,4.4,1.8,14.2,,107,118,2019-20
44,Keita Bates-Diop,SF,24,DEN,5,0,24,2.1,10.6,.200,0.0,0.0,,2.1,10.6,.200,2.1,4.3,.500,6.4,6.4,12.8,2.1,0.0,0.0,0.0,0.0,6.4,,94,120,2019-20
45,Bol Bol,PF,20,DEN,4,0,21,12.1,21.9,.556,4.9,7.3,.667,7.3,14.6,.500,17.0,19.4,.875,7.3,4.9,12.1,0.0,4.9,4.9,4.9,2.4,46.2,,137,104,2019-20
46,Tyler Cook,SF,22,DEN,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,25.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,,,110,2019-20
47,Torrey Craig,SF,29,DEN,19,3,375,4.5,10.6,.423,1.5,5.7,.262,3.0,4.9,.611,1.2,1.8,.692,1.8,6.7,8.4,1.8,1.0,1.0,1.2,6.0,11.7,,107,117,2019-20
48,Troy Daniels,SG,28,DEN,6,0,30,10.2,20.4,.500,5.1,10.2,.500,5.1,10.2,.500,1.7,3.4,.500,1.7,3.4,5.1,3.4,0.0,0.0,0.0,3.4,27.2,,132,122,2019-20
49,PJ Dozier,SG,23,DEN,12,0,125,5.7,13.5,.424,0.8,3.3,.250,4.9,10.2,.480,3.3,5.7,.571,0.8,6.5,7.3,4.9,0.8,0.8,3.3,5.3,15.5,,95,117,2019-20
50,Jerami Grant,PF,25,DEN,19,16,653,5.5,13.7,.406,2.4,7.4,.326,3.1,6.3,.500,3.8,4.2,.889,0.6,4.3,4.9,2.0,0.9,1.2,2.0,4.6,17.3,,107,118,2019-20
51,Gary Harris,SG,25,DEN,14,12,379,4.6,12.1,.378,2.6,7.0,.365,2.0,5.1,.395,2.3,3.0,.773,0.9,2.8,3.8,3.2,2.2,0.5,2.8,6.1,14.0,,98,117,2019-20
52,Nikola Jokić,C,24,DEN,19,19,694,13.1,25.2,.519,3.1,7.2,.429,10.0,18.0,.555,4.9,5.8,.835,2.7,11.0,13.7,8.0,1.5,1.1,4.6,5.0,34.1,,118,113,2019-20
53,Paul Millsap,PF,34,DEN,19,19,459,5.2,13.1,.398,1.7,4.9,.341,3.6,8.2,.432,4.8,6.0,.796,2.9,7.0,9.9,2.6,1.3,1.0,2.8,5.4,16.9,,107,115,2019-20
54,Monte Morris,PG,24,DEN,19,4,406,8.3,16.7,.496,1.5,5.0,.300,6.8,11.7,.581,3.5,4.3,.824,0.5,3.1,3.6,6.5,1.5,0.3,1.3,2.5,21.6,,124,118,2019-20
55,Jamal Murray,PG,22,DEN,19,19,753,12.6,24.9,.505,4.2,9.3,.453,8.4,15.7,.537,4.7,5.3,.897,1.4,4.9,6.2,8.5,1.2,0.4,3.6,2.8,34.2,,123,118,2019-20
56,Mason Plumlee,C,29,DEN,19,0,206,4.7,9.7,.487,0.0,0.2,.000,4.7,9.4,.500,2.0,3.0,.667,7.7,7.4,15.1,6.2,1.0,2.0,2.7,9.9,11.4,,122,115,2019-20
57,Michael Porter,SF,21,DEN,19,3,451,8.8,18.6,.476,3.8,10.1,.382,5.0,8.5,.587,2.9,4.0,.743,2.4,12.0,14.4,1.8,1.5,0.7,2.8,4.9,24.4,,112,113,2019-20
58,Noah Vonleh,C,24,DEN,1,0,3,0.0,17.0,.000,0.0,0.0,,0.0,17.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,124,2019-20
59,Bruno Caboclo,C,24,HOU,2,0,7,7.0,13.9,.500,0.0,7.0,.000,7.0,7.0,1.000,0.0,0.0,,0.0,20.9,20.9,0.0,7.0,0.0,0.0,13.9,13.9,,96,89,2019-20
60,DeMarre Carroll,C,33,HOU,2,0,6,8.1,16.2,.500,0.0,0.0,,8.1,16.2,.500,0.0,0.0,,0.0,24.3,24.3,8.1,0.0,0.0,0.0,8.1,16.2,,119,103,2019-20
61,Tyson Chandler,C,37,HOU,1,0,0,,,,,,,,,,,,.000,,,,,,,,,,,,,2019-20
62,Chris Clemons,SG,22,HOU,2,0,8,12.2,30.4,.400,12.2,30.4,.400,0.0,0.0,,6.1,12.2,.500,0.0,12.2,12.2,0.0,0.0,0.0,0.0,0.0,42.6,,110,110,2019-20
63,Robert Covington,C,29,HOU,12,12,379,6.0,12.2,.495,4.4,8.7,.500,1.7,3.5,.481,0.8,0.9,.857,1.0,6.7,7.7,2.1,3.9,1.7,1.5,5.8,17.2,,122,102,2019-20
64,Michael Frazier,SG,25,HOU,4,0,12,4.1,16.2,.250,4.1,8.1,.500,0.0,8.1,.000,0.0,0.0,,4.1,12.2,16.2,8.1,0.0,0.0,4.1,0.0,12.2,,89,110,2019-20
65,Eric Gordon,SF,31,HOU,12,12,410,8.5,20.9,.409,3.4,10.7,.322,5.1,10.2,.500,4.2,4.7,.875,0.7,3.1,3.8,4.3,1.2,0.8,2.8,3.1,24.7,,103,111,2019-20
66,Jeff Green,C,33,HOU,12,0,341,7.3,14.7,.495,3.3,7.7,.426,4.0,7.0,.571,2.0,2.4,.824,0.7,7.9,8.6,2.7,0.9,0.9,2.1,3.9,19.8,,113,109,2019-20
67,James Harden,SG,30,HOU,12,12,448,11.8,24.8,.478,4.2,12.7,.333,7.6,12.1,.631,10.6,12.6,.845,1.3,6.0,7.3,10.0,2.0,1.1,4.9,4.7,38.6,,122,107,2019-20
68,Danuel House,SF,26,HOU,9,4,279,6.5,14.8,.435,3.3,9.2,.358,3.1,5.6,.563,1.7,2.3,.769,1.7,7.3,9.1,2.3,1.4,0.0,1.2,3.8,18.0,,112,109,2019-20
69,Ben McLemore,SF,26,HOU,11,0,130,5.6,15.0,.375,5.2,13.5,.389,0.4,1.5,.250,0.0,0.0,,0.7,3.4,4.1,2.2,1.5,0.0,1.1,3.0,16.5,,105,111,2019-20
70,Austin Rivers,SG,27,HOU,12,0,211,4.4,14.1,.311,2.1,8.1,.257,2.3,6.0,.385,2.3,3.0,.769,0.5,6.5,6.9,3.7,1.6,0.2,1.8,5.1,13.2,,88,109,2019-20
71,P.J. Tucker,PF,34,HOU,12,12,414,4.1,10.3,.398,2.9,7.9,.373,1.2,2.5,.476,0.0,0.0,,2.7,7.4,10.1,2.1,1.5,0.4,1.4,5.5,11.2,,109,108,2019-20
72,Russell Westbrook,PG,31,HOU,8,8,262,11.0,26.0,.421,1.5,6.1,.242,9.5,19.9,.477,3.2,5.9,.531,2.0,8.4,10.4,6.9,2.2,0.4,5.6,4.3,26.6,,89,106,2019-20
73,Malcolm Brogdon,PG,27,IND,4,4,160,8.1,20.2,.400,2.8,7.4,.375,5.3,12.7,.415,7.8,8.7,.893,0.0,5.3,5.3,12.4,1.2,0.0,3.1,3.1,26.7,,116,119,2019-20
74,Aaron Holiday,PG,23,IND,4,2,72,8.3,14.5,.571,2.8,6.2,.444,5.5,8.3,.667,2.1,3.4,.600,0.7,2.8,3.4,6.9,2.8,0.0,2.8,6.9,21.4,,121,117,2019-20
75,Justin Holiday,SF,30,IND,4,2,131,3.8,8.0,.476,3.0,6.1,.500,0.8,1.9,.400,0.4,1.1,.333,1.5,4.2,5.7,1.1,2.3,1.9,1.1,3.0,11.0,,115,115,2019-20
76,Alize Johnson,PF,23,IND,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2019-20
77,T.J. McConnell,PG,27,IND,3,0,28,5.3,14.2,.375,0.0,0.0,,5.3,14.2,.375,1.8,3.5,.500,0.0,10.6,10.6,12.4,0.0,0.0,3.5,7.1,12.4,,91,119,2019-20
78,Doug McDermott,PF,28,IND,4,0,54,3.7,13.8,.267,1.8,9.2,.200,1.8,4.6,.400,0.0,0.0,,0.0,2.8,2.8,0.9,0.9,0.0,0.9,2.8,9.2,,65,121,2019-20
79,Victor Oladipo,SG,27,IND,4,4,123,8.9,22.6,.393,4.8,13.3,.364,4.0,9.3,.435,6.1,6.5,.938,0.0,5.2,5.2,4.0,3.6,0.0,5.7,5.7,28.7,,94,114,2019-20
80,JaKarr Sampson,PF,26,IND,4,0,50,9.9,15.9,.625,0.0,0.0,,9.9,15.9,.625,0.0,0.0,,1.0,11.9,12.9,4.0,2.0,0.0,2.0,9.9,19.9,,114,113,2019-20
81,Edmond Sumner,SG,24,IND,3,0,41,2.4,8.5,.286,0.0,3.6,.000,2.4,4.8,.500,2.4,2.4,1.000,1.2,6.1,7.3,0.0,0.0,0.0,2.4,6.1,7.3,,68,121,2019-20
82,Myles Turner,C,23,IND,4,4,146,8.5,15.0,.568,2.0,4.8,.429,6.5,10.2,.633,2.4,5.4,.438,3.7,10.9,14.6,1.0,0.7,5.4,3.1,4.4,21.4,,108,110,2019-20
83,T.J. Warren,SF,26,IND,4,4,156,10.2,21.6,.471,2.2,6.0,.368,8.0,15.6,.510,2.9,2.9,1.000,1.6,6.4,8.0,3.8,2.9,0.3,3.5,5.1,25.5,,101,114,2019-20
84,Patrick Beverley,PG,31,LAC,8,8,166,5.9,11.5,.513,2.4,6.5,.364,3.5,5.0,.706,0.6,1.2,.500,2.7,7.1,9.7,5.6,2.4,0.9,2.1,9.1,14.8,,124,109,2019-20
85,Amir Coffey,SG,22,LAC,3,0,7,0.0,21.0,.000,0.0,7.0,.000,0.0,14.0,.000,14.0,14.0,1.000,0.0,0.0,0.0,28.0,7.0,0.0,0.0,0.0,14.0,,103,104,2019-20
86,Paul George,SF,29,LAC,13,13,479,9.0,22.6,.398,3.8,11.3,.333,5.2,11.2,.464,5.1,5.6,.909,1.4,6.6,8.1,5.0,1.9,0.7,4.1,5.0,26.9,,104,110,2019-20
87,JaMychal Green,PF,29,LAC,13,0,222,6.8,12.1,.564,2.2,5.1,.435,4.6,7.1,.656,1.5,2.0,.778,2.9,7.9,10.8,1.5,0.4,0.7,1.1,6.4,17.4,,133,113,2019-20
88,Montrezl Harrell,C,26,LAC,13,0,243,9.5,16.5,.573,0.2,1.0,.200,9.3,15.5,.597,8.3,13.7,.603,2.2,5.4,7.7,1.0,1.0,1.4,2.4,5.6,27.4,,116,112,2019-20
89,Reggie Jackson,SG,29,LAC,12,1,170,6.0,13.8,.438,4.9,9.2,.531,1.2,4.6,.250,0.0,0.0,,0.6,5.5,6.0,3.2,0.6,0.3,1.4,5.2,17.0,,118,115,2019-20
90,Kawhi Leonard,SF,28,LAC,13,13,511,12.6,25.7,.489,2.3,7.0,.329,10.3,18.7,.549,7.8,9.0,.862,2.3,9.3,11.6,6.9,2.9,1.1,3.2,2.8,35.2,,121,107,2019-20
91,Terance Mann,SF,23,LAC,13,0,27,3.6,9.1,.400,0.0,3.6,.000,3.6,5.4,.667,0.0,0.0,,0.0,12.7,12.7,1.8,1.8,0.0,3.6,7.3,7.3,,63,109,2019-20
92,Rodney McGruder,SG,28,LAC,5,0,16,9.2,15.3,.600,6.1,9.2,.667,3.1,6.1,.500,0.0,0.0,,3.1,9.2,12.2,6.1,0.0,0.0,0.0,0.0,24.5,,172,115,2019-20
93,Marcus Morris,PF,30,LAC,13,13,388,7.1,14.0,.505,3.5,7.4,.475,3.5,6.6,.538,1.6,1.8,.929,1.4,6.6,8.0,2.7,1.4,0.1,1.1,4.9,19.3,,129,113,2019-20
94,Joakim Noah,C,34,LAC,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,119,2019-20
95,Patrick Patterson,PF,30,LAC,2,0,10,14.7,14.7,1.000,14.7,14.7,1.000,0.0,0.0,,0.0,0.0,,0.0,4.9,4.9,19.6,0.0,0.0,0.0,4.9,44.1,,280,117,2019-20
96,Landry Shamet,SG,22,LAC,13,4,243,4.8,11.9,.407,3.0,8.5,.357,1.8,3.4,.529,1.0,1.4,.714,0.0,4.4,4.4,3.4,1.2,0.6,2.6,3.6,13.7,,99,113,2019-20
97,Lou Williams,PG,33,LAC,13,0,341,8.9,21.0,.425,1.7,7.3,.235,7.2,13.6,.526,4.3,5.3,.811,1.0,4.9,5.9,7.9,1.4,0.3,3.0,2.6,23.8,,107,113,2019-20
98,Ivica Zubac,C,22,LAC,13,13,320,6.7,11.9,.564,0.0,0.0,,6.7,11.9,.564,4.6,5.7,.811,4.7,9.5,14.2,1.2,0.3,1.5,1.8,5.2,18.1,,127,112,2019-20
99,Kentavious Caldwell-Pope,SG,26,LAL,21,21,608,6.4,15.3,.418,3.7,9.7,.378,2.8,5.7,.486,1.8,2.2,.815,0.6,2.9,3.6,2.3,1.7,0.3,1.2,3.2,18.3,,113,112,2019-20
100,Alex Caruso,PG,25,LAL,21,1,510,4.6,10.9,.425,1.6,5.9,.279,3.0,5.0,.596,2.3,2.9,.800,1.5,3.2,4.6,5.7,2.2,1.2,3.0,5.3,13.3,,107,109,2019-20
101,Quinn Cook,PG,26,LAL,6,0,24,10.3,20.6,.500,4.1,8.2,.500,6.2,12.3,.500,2.1,2.1,1.000,0.0,2.1,2.1,10.3,0.0,0.0,2.1,2.1,26.7,,131,117,2019-20
102,Anthony Davis,PF,26,LAL,21,21,769,13.2,23.0,.571,1.5,3.8,.383,11.7,19.2,.609,9.6,11.5,.832,3.5,9.6,13.1,4.7,1.7,1.9,3.4,3.6,37.3,,130,107,2019-20
103,Jared Dudley,PF,34,LAL,9,0,31,0.0,6.4,.000,0.0,4.8,.000,0.0,1.6,.000,0.0,0.0,,0.0,3.2,3.2,0.0,6.4,1.6,3.2,3.2,0.0,,0,100,2019-20
104,Danny Green,SG,32,LAL,21,21,525,5.5,16.0,.347,3.7,10.8,.339,1.9,5.2,.364,0.9,1.4,.667,2.3,3.9,6.2,2.4,1.9,1.5,1.1,4.5,15.7,,105,109,2019-20
105,Talen Horton-Tucker,SG,19,LAL,2,0,17,17.4,34.8,.500,5.8,14.5,.400,11.6,20.3,.571,0.0,0.0,,0.0,14.5,14.5,0.0,5.8,0.0,0.0,11.6,40.6,,112,97,2019-20
106,Dwight Howard,C,34,LAL,18,7,282,6.8,10.0,.684,0.2,0.3,.500,6.6,9.6,.691,4.4,7.9,.556,5.6,8.9,14.5,1.6,1.4,1.4,2.8,9.6,18.2,,125,108,2019-20
107,LeBron James,PG,35,LAL,21,21,762,13.9,24.7,.560,2.8,7.7,.370,11.0,17.0,.646,7.0,9.7,.720,1.8,12.8,14.6,11.9,1.7,1.2,5.4,2.6,37.6,,124,106,2019-20
