,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON
108,Kyle Kuzma,PF,24,LAL,21,0,484,7.8,18.2,.430,2.7,8.5,.313,5.2,9.8,.531,3.0,3.8,.784,1.8,4.8,6.6,1.7,0.6,0.7,2.1,5.1,21.3,,106,113,2019-20
109,JaVale McGee,C,32,LAL,14,11,135,7.3,11.7,.625,0.0,0.7,.000,7.3,11.0,.667,0.4,0.7,.500,5.8,10.2,16.1,2.6,0.7,3.7,3.3,8.0,15.0,,115,106,2019-20
110,Markieff Morris,PF,30,LAL,21,2,385,5.6,12.6,.449,3.7,8.8,.420,1.9,3.7,.517,0.9,1.2,.778,1.5,6.7,8.2,2.6,0.8,0.4,2.2,6.9,15.9,,113,112,2019-20
111,Rajon Rondo,PG,33,LAL,16,0,395,6.9,15.1,.455,2.5,6.2,.400,4.4,8.9,.493,1.6,2.4,.684,1.6,7.0,8.6,13.1,2.7,0.2,4.2,4.5,17.9,,115,108,2019-20
112,J.R. Smith,SG,34,LAL,10,0,75,4.6,17.1,.269,3.9,14.5,.273,0.7,2.6,.250,0.0,0.0,,0.0,2.0,2.0,2.0,1.3,0.0,4.6,7.2,13.2,,67,114,2019-20
113,Dion Waiters,SG,28,LAL,5,0,38,5.2,15.6,.333,0.0,5.2,.000,5.2,10.4,.500,2.6,2.6,1.000,0.0,2.6,2.6,2.6,1.3,1.3,1.3,2.6,13.0,,86,112,2019-20
114,Bam Adebayo,PF,22,MIA,19,19,687,9.0,16.0,.564,0.0,0.1,.000,9.0,16.0,.566,6.6,8.4,.783,3.4,10.9,14.3,6.1,1.4,1.2,3.4,4.2,24.6,,122,109,2019-20
115,Jimmy Butler,SF,30,MIA,21,21,806,8.9,18.3,.488,0.9,2.7,.349,8.0,15.6,.512,10.2,11.9,.859,2.9,5.6,8.4,7.9,2.5,0.9,3.7,2.3,29.0,,123,110,2019-20
116,Jae Crowder,PF,29,MIA,21,21,660,6.1,15.2,.403,4.2,12.2,.342,2.0,3.0,.650,2.7,3.5,.761,0.8,8.0,8.9,3.0,1.1,0.9,1.1,4.2,19.1,,113,112,2019-20
117,Goran Dragić,PG,33,MIA,17,16,553,10.8,24.3,.444,3.3,9.7,.346,7.4,14.6,.509,4.4,5.5,.803,1.2,5.1,6.2,6.8,1.5,0.2,3.5,4.5,29.3,,107,113,2019-20
118,Tyler Herro,SG,20,MIA,21,5,706,8.5,19.6,.433,3.4,9.1,.375,5.1,10.6,.483,3.3,3.8,.870,0.5,7.1,7.6,5.5,0.6,0.1,3.0,2.2,23.7,,106,114,2019-20
119,Solomon Hill,PF,28,MIA,7,0,42,6.0,10.7,.556,2.4,7.1,.333,3.6,3.6,1.000,0.0,0.0,,1.2,7.1,8.3,3.6,1.2,0.0,0.0,6.0,14.3,,143,113,2019-20
120,Andre Iguodala,SF,36,MIA,21,0,410,3.7,7.9,.462,1.7,4.8,.359,2.0,3.2,.615,0.6,0.9,.714,1.3,5.2,6.6,3.8,2.1,1.6,1.7,5.4,9.6,,112,110,2019-20
121,Derrick Jones,SF,22,MIA,15,0,97,4.1,8.8,.471,2.1,4.6,.444,2.1,4.1,.500,1.0,2.6,.400,3.1,3.1,6.2,3.6,3.1,2.6,1.0,6.2,11.3,,124,108,2019-20
122,Meyers Leonard,C,27,MIA,3,2,31,8.1,12.9,.625,3.2,6.5,.500,4.8,6.5,.750,3.2,3.2,1.000,0.0,1.6,1.6,4.8,1.6,0.0,0.0,6.5,22.6,,163,115,2019-20
123,Kendrick Nunn,PG,24,MIA,15,0,239,7.5,19.3,.391,2.5,9.0,.279,5.0,10.3,.490,1.7,1.7,1.000,0.6,6.1,6.7,4.2,0.6,0.6,2.5,4.4,19.3,,94,114,2019-20
124,Kelly Olynyk,C,28,MIA,17,0,258,8.7,18.4,.474,3.3,9.5,.347,5.4,8.9,.609,4.5,5.4,.821,2.5,12.8,15.3,3.7,0.8,1.6,2.5,6.8,25.2,,116,109,2019-20
125,Duncan Robinson,SG,25,MIA,21,21,600,6.3,14.7,.426,5.2,13.0,.397,1.1,1.7,.650,2.8,3.2,.868,0.4,4.4,4.8,3.2,1.2,0.5,1.3,5.4,20.4,,121,114,2019-20
126,Gabe Vincent,PG,23,MIA,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2019-20
127,Giannis Antetokounmpo,PF,25,MIL,9,9,277,15.6,27.8,.559,2.2,6.9,.325,13.3,20.9,.636,8.1,14.0,.580,4.7,16.8,21.4,8.8,1.0,1.4,5.2,5.4,41.5,,117,104,2019-20
128,Eric Bledsoe,PG,30,MIL,9,9,267,6.8,17.6,.388,1.4,5.7,.250,5.4,11.8,.455,3.8,4.7,.808,0.9,6.5,7.4,9.5,2.0,1.1,4.1,3.6,18.8,,99,107,2019-20
129,Sterling Brown,SF,24,MIL,1,0,4,0.0,12.0,.000,0.0,12.0,.000,0.0,0.0,,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,111,2019-20
130,Pat Connaughton,SG,27,MIL,10,0,171,4.2,9.8,.429,2.2,6.4,.348,2.0,3.4,.583,0.6,0.6,1.000,1.4,9.5,10.9,3.1,0.6,0.6,1.4,3.4,11.2,,111,110,2019-20
131,Donte DiVincenzo,SG,23,MIL,10,1,165,6.7,14.8,.451,2.0,6.1,.333,4.6,8.7,.533,3.8,5.8,.650,2.3,7.0,9.3,3.5,2.0,0.9,2.9,6.1,19.1,,106,107,2019-20
132,George Hill,PG,33,MIL,10,1,268,5.7,12.0,.478,1.8,5.0,.357,3.9,7.0,.564,3.8,4.6,.808,0.9,3.4,4.3,5.5,1.1,0.0,2.9,3.0,17.0,,114,113,2019-20
133,Ersan İlyasova,PF,32,MIL,3,0,23,6.2,18.7,.333,2.1,10.4,.200,4.2,8.3,.500,4.2,4.2,1.000,0.0,8.3,8.3,0.0,4.2,0.0,2.1,6.2,18.7,,85,103,2019-20
134,Kyle Korver,SF,38,MIL,10,0,119,8.0,18.9,.426,6.0,14.9,.405,2.0,4.0,.500,2.8,2.8,1.000,0.4,2.8,3.2,0.4,1.2,0.4,2.0,3.6,24.9,,110,112,2019-20
135,Brook Lopez,C,31,MIL,10,10,328,8.9,16.6,.535,3.1,7.7,.396,5.8,8.9,.656,2.2,2.9,.750,2.8,5.3,8.0,0.7,1.5,1.9,1.8,3.9,23.1,,120,108,2019-20
136,Robin Lopez,C,31,MIL,3,0,21,6.8,9.1,.750,0.0,0.0,,6.8,9.1,.750,0.0,0.0,,0.0,9.1,9.1,0.0,0.0,0.0,0.0,4.6,13.7,,145,113,2019-20
137,Frank Mason III,PG,25,MIL,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,23.9,0.0,0.0,0.0,0.0,0.0,,233,117,2019-20
138,Wesley Matthews,SG,33,MIL,10,10,246,4.7,11.1,.421,3.3,8.4,.395,1.4,2.7,.500,1.4,1.9,.700,1.2,2.3,3.5,1.8,1.8,0.8,1.4,3.9,14.0,,111,110,2019-20
139,Khris Middleton,SF,28,MIL,10,10,355,9.6,24.3,.394,3.1,8.8,.354,6.5,15.5,.417,5.1,6.2,.826,0.7,8.6,9.3,8.1,1.5,0.3,4.6,5.5,27.4,,100,109,2019-20
140,Marvin Williams,PF,33,MIL,10,0,179,5.6,12.6,.447,2.7,6.2,.435,2.9,6.4,.458,0.8,0.8,1.000,3.5,9.4,12.8,2.4,1.3,0.8,0.8,3.7,14.7,,123,108,2019-20
141,Steven Adams,C,26,OKC,7,7,210,7.1,11.9,.596,0.0,0.2,.000,7.1,11.6,.608,2.1,4.6,.450,7.8,10.7,18.5,2.1,0.9,0.5,3.7,2.3,16.2,,111,109,2019-20
142,Darius Bazley,PF,19,OKC,7,0,126,4.9,11.8,.419,4.2,8.4,.500,0.8,3.4,.222,3.4,3.8,.900,0.8,17.1,17.9,2.3,0.0,1.1,2.3,0.8,17.5,,117,107,2019-20
143,Deonte Burton,SF,26,OKC,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117,2019-20
144,Hamidou Diallo,SF,21,OKC,3,0,25,7.7,21.1,.364,1.9,9.6,.200,5.8,11.5,.500,7.7,13.4,.571,3.8,7.7,11.5,1.9,0.0,3.8,3.8,0.0,24.9,,92,107,2019-20
145,Luguentz Dort,SF,20,OKC,6,6,175,7.4,20.8,.355,3.6,13.7,.260,3.8,7.1,.538,2.2,4.1,.533,1.4,4.7,6.0,1.6,0.5,1.6,4.1,6.9,20.6,,83,110,2019-20
146,Terrance Ferguson,SF,21,OKC,4,1,42,2.3,12.6,.182,2.3,11.4,.200,0.0,1.1,.000,0.0,0.0,,1.1,3.4,4.6,1.1,1.1,0.0,1.1,3.4,6.9,,63,112,2019-20
147,Danilo Gallinari,PF,31,OKC,7,7,212,7.2,17.9,.405,2.7,8.4,.324,4.5,9.5,.476,6.6,6.8,.967,1.1,7.5,8.6,1.6,1.1,0.2,3.4,2.5,23.8,,105,110,2019-20
148,Shai Gilgeous-Alexander,SG,21,OKC,7,7,279,6.7,15.5,.433,2.4,6.0,.400,4.3,9.5,.455,3.8,4.0,.957,0.5,5.8,6.4,5.0,1.2,0.5,2.6,2.9,19.6,,111,110,2019-20
149,Mike Muscala,C,28,OKC,2,0,20,2.4,4.8,.500,2.4,2.4,1.000,0.0,2.4,.000,0.0,0.0,,0.0,9.6,9.6,2.4,0.0,0.0,0.0,4.8,7.2,,160,112,2019-20
150,Abdel Nader,SF,26,OKC,3,0,25,1.9,13.4,.143,1.9,9.6,.200,0.0,3.8,.000,1.9,3.8,.500,1.9,3.8,5.8,0.0,1.9,3.8,0.0,1.9,7.7,,64,104,2019-20
151,Nerlens Noel,C,25,OKC,7,0,97,4.0,8.4,.471,0.0,0.5,.000,4.0,7.9,.500,2.5,4.9,.500,2.5,11.9,14.3,1.5,1.0,2.5,1.0,7.4,10.4,,106,104,2019-20
152,Chris Paul,PG,34,OKC,7,7,261,10.1,20.6,.491,2.9,7.9,.372,7.2,12.7,.565,4.2,4.8,.885,0.6,9.0,9.6,6.8,2.0,0.6,4.2,3.3,27.4,,112,106,2019-20
153,Andre Roberson,SF,28,OKC,1,0,3,0.0,16.0,.000,0.0,16.0,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,,0,116,2019-20
154,Dennis Schröder,PG,26,OKC,7,0,227,9.3,23.0,.404,2.7,9.5,.289,6.6,13.5,.484,4.2,5.3,.800,0.4,5.1,5.5,5.3,0.8,0.2,3.6,3.2,25.6,,98,112,2019-20
155,D.J. Augustin,PG,32,ORL,5,0,128,6.5,16.5,.391,2.9,6.1,.471,3.6,10.4,.345,7.9,8.3,.957,0.0,3.6,3.6,10.8,0.4,0.0,4.3,2.2,23.7,,112,116,2019-20
156,Khem Birch,C,27,ORL,5,0,89,3.6,7.2,.500,0.0,0.0,,3.6,7.2,.500,5.2,5.7,.909,4.7,8.3,12.9,3.6,0.5,0.0,2.6,5.7,12.4,,125,113,2019-20
157,Gary Clark,SF,25,ORL,5,5,144,3.5,10.5,.333,3.5,10.2,.344,0.0,0.3,.000,1.3,1.6,.800,1.3,7.7,8.9,2.2,1.6,0.6,0.6,2.2,11.8,,108,110,2019-20
158,James Ennis,SG,29,ORL,5,5,119,4.6,13.5,.343,1.5,6.2,.250,3.1,7.3,.421,2.7,3.5,.778,2.3,8.9,11.2,2.3,1.9,0.8,2.3,7.3,13.5,,89,109,2019-20
159,Evan Fournier,SF,27,ORL,5,5,171,5.4,15.3,.351,3.2,9.4,.343,2.2,5.9,.364,3.2,4.6,.706,0.8,4.6,5.4,3.5,1.6,0.8,2.4,2.7,17.2,,94,111,2019-20
160,Markelle Fultz,PG,21,ORL,5,5,147,7.5,18.8,.400,1.9,5.0,.375,5.6,13.8,.409,1.9,2.2,.857,0.0,3.4,3.4,8.1,1.6,0.9,4.1,6.3,18.8,,91,112,2019-20
161,Wesley Iwundu,SF,25,ORL,5,0,76,3.6,12.1,.300,2.4,4.2,.571,1.2,7.9,.154,3.0,4.8,.625,0.6,6.1,6.7,2.4,1.8,1.2,1.8,3.0,12.7,,87,110,2019-20
162,B.J. Johnson,SF,24,ORL,1,0,4,11.5,23.0,.500,11.5,11.5,1.000,0.0,11.5,.000,0.0,0.0,,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,34.5,,126,109,2019-20
163,Vic Law,PF,24,ORL,1,0,4,11.5,11.5,1.000,11.5,11.5,1.000,0.0,0.0,,0.0,0.0,,0.0,23.0,23.0,11.5,0.0,0.0,0.0,0.0,34.5,,283,109,2019-20
164,Terrence Ross,SG,28,ORL,5,0,135,10.2,21.8,.469,3.4,10.2,.333,6.8,11.6,.588,4.1,4.8,.857,0.3,7.2,7.5,1.7,1.4,0.3,2.7,4.8,27.9,,102,111,2019-20
165,Nikola Vučević,C,29,ORL,5,5,185,13.9,27.6,.505,4.5,10.9,.409,9.4,16.7,.567,2.5,2.7,.909,2.2,11.4,13.7,5.0,1.0,0.7,3.2,3.2,34.8,,111,110,2019-20
166,Alec Burks,SG,28,PHI,4,0,95,8.5,26.0,.327,1.6,8.5,.188,6.9,17.5,.394,3.7,4.8,.778,3.7,4.2,8.0,3.7,0.5,1.6,1.6,3.7,22.3,,93,120,2019-20
167,Joel Embiid,C,25,PHI,4,4,145,11.8,25.7,.459,1.4,5.6,.250,10.4,20.2,.517,16.7,20.5,.814,3.8,13.2,17.0,1.7,2.1,1.7,5.2,6.3,41.7,,115,111,2019-20
168,Tobias Harris,PF,27,PHI,4,4,149,7.8,20.3,.383,0.7,5.1,.133,7.1,15.2,.467,5.1,6.4,.789,4.7,8.1,12.9,5.4,0.7,0.3,1.7,3.7,21.3,,108,119,2019-20
169,Al Horford,C,33,PHI,4,3,129,4.7,9.8,.480,0.0,1.6,.000,4.7,8.2,.571,1.6,2.7,.571,3.5,7.8,11.3,3.5,0.4,2.0,1.2,5.5,10.9,,113,118,2019-20
170,Furkan Korkmaz,SG,22,PHI,4,0,40,0.0,8.8,.000,0.0,7.6,.000,0.0,1.3,.000,3.8,6.3,.600,0.0,7.6,7.6,2.5,1.3,0.0,2.5,3.8,3.8,,40,118,2019-20
171,Shake Milton,SG,23,PHI,4,4,126,8.4,17.6,.477,4.0,10.0,.400,4.4,7.6,.579,2.4,2.8,.857,0.4,4.8,5.2,4.4,0.8,0.0,2.4,5.2,23.2,,118,121,2019-20
172,Raul Neto,PG,27,PHI,2,0,26,5.8,17.4,.333,3.9,9.7,.400,1.9,7.8,.250,0.0,0.0,,0.0,5.8,5.8,5.8,1.9,0.0,1.9,0.0,15.5,,96,118,2019-20
173,Kyle O'Quinn,C,29,PHI,1,0,6,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,8.4,8.4,8.4,0.0,0.0,16.8,25.2,0.0,,21,120,2019-20
174,Norvel Pelle,C,26,PHI,1,0,7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,7.2,7.2,0.0,0.0,0.0,,,100,2019-20
175,Josh Richardson,SG,26,PHI,4,4,144,7.0,19.6,.357,3.5,9.8,.357,3.5,9.8,.357,5.9,6.3,.944,1.4,3.8,5.2,4.5,0.7,0.7,2.8,4.2,23.4,,108,121,2019-20
176,Mike Scott,PF,31,PHI,4,0,20,2.5,12.6,.200,0.0,5.0,.000,2.5,7.6,.333,10.1,10.1,1.000,5.0,15.1,20.2,2.5,0.0,0.0,0.0,5.0,15.1,,120,117,2019-20
177,Matisse Thybulle,SG,22,PHI,4,1,75,2.0,4.7,.429,0.7,2.7,.250,1.3,2.0,.667,0.0,0.0,,0.7,4.0,4.7,1.3,2.0,0.7,1.3,4.0,4.7,,90,118,2019-20
178,Jaylen Adams,PG,23,POR,3,0,21,6.7,20.2,.333,0.0,9.0,.000,6.7,11.2,.600,0.0,0.0,,2.2,4.5,6.7,4.5,2.2,0.0,0.0,2.2,13.5,,87,116,2019-20
179,Carmelo Anthony,PF,35,POR,5,5,176,7.5,18.2,.412,2.1,5.1,.421,5.4,13.1,.408,3.2,3.7,.857,0.3,6.4,6.7,2.7,1.3,0.5,3.5,5.4,20.3,,94,115,2019-20
180,Wenyen Gabriel,PF,22,POR,4,2,53,8.0,13.3,.600,1.8,4.4,.400,6.2,8.9,.700,0.9,1.8,.500,6.2,2.7,8.9,3.6,1.8,1.8,4.4,14.2,18.7,,115,115,2019-20
181,Mario Hezonja,PF,24,POR,5,0,68,6.2,15.2,.409,1.4,4.8,.286,4.8,10.4,.467,2.1,2.8,.750,1.4,9.7,11.1,4.2,2.1,0.0,2.1,5.5,15.9,,100,112,2019-20
182,Jaylen Hoard,PF,20,POR,3,0,41,8.0,13.8,.583,0.0,0.0,,8.0,13.8,.583,0.0,0.0,,5.7,4.6,10.3,1.1,0.0,0.0,2.3,5.7,16.1,,114,120,2019-20
183,Damian Lillard,PG,29,POR,4,4,143,8.6,21.1,.406,4.3,10.9,.394,4.3,10.2,.419,10.5,10.9,.970,0.3,4.3,4.6,5.6,0.7,0.3,4.6,1.3,31.9,,115,119,2019-20
184,CJ McCollum,SG,28,POR,5,5,196,10.6,23.8,.444,3.1,8.4,.371,7.4,15.4,.484,3.6,5.3,.682,1.2,5.8,7.0,3.8,1.4,0.5,3.6,2.4,27.9,,102,116,2019-20
185,Jusuf Nurkić,C,25,POR,5,5,161,7.3,16.7,.439,0.9,3.2,.273,6.4,13.5,.478,5.3,6.7,.783,4.1,11.1,15.2,5.3,2.0,0.3,3.8,6.1,20.8,,107,111,2019-20
186,Anfernee Simons,SG,20,POR,4,0,82,4.6,14.9,.308,3.4,8.0,.429,1.1,6.9,.167,2.9,3.4,.833,0.6,5.7,6.3,5.7,3.4,0.0,2.3,4.0,15.5,,100,112,2019-20
187,Gary Trent,SF,21,POR,5,1,153,4.9,13.8,.356,3.1,7.4,.417,1.8,6.5,.286,1.8,2.2,.857,1.5,1.5,3.1,0.9,1.2,0.0,1.5,4.9,14.8,,100,119,2019-20
188,Hassan Whiteside,C,30,POR,5,3,106,5.8,10.7,.542,0.4,0.4,1.000,5.3,10.2,.522,3.1,6.2,.500,3.1,12.4,15.5,0.9,0.4,4.4,2.7,7.6,15.1,,104,109,2019-20
189,OG Anunoby,SF,22,TOR,11,11,393,4.9,10.8,.455,2.1,5.1,.415,2.8,5.8,.489,2.2,3.5,.643,3.2,6.2,9.4,1.6,1.4,1.6,2.0,3.3,14.2,,110,104,2019-20
190,Chris Boucher,C,27,TOR,7,0,43,3.4,12.4,.273,2.3,5.6,.400,1.1,6.8,.167,0.0,1.1,.000,3.4,10.1,13.5,1.1,0.0,2.3,1.1,5.6,9.0,,82,104,2019-20
191,Terence Davis,SG,22,TOR,6,0,84,8.1,16.7,.483,4.6,11.0,.421,3.5,5.8,.600,4.0,4.0,1.000,1.2,6.3,7.5,4.0,0.6,0.0,3.5,6.3,24.8,,116,108,2019-20
192,Marc Gasol,C,35,TOR,11,11,228,5.3,13.6,.391,1.1,5.7,.185,4.2,7.9,.541,2.3,3.2,.733,0.8,9.3,10.2,6.2,1.1,1.5,3.4,6.8,14.0,,92,103,2019-20
193,Rondae Hollis-Jefferson,PF,25,TOR,5,0,39,5.0,12.4,.400,0.0,1.2,.000,5.0,11.2,.444,7.4,9.9,.750,6.2,6.2,12.4,3.7,2.5,1.2,1.2,6.2,17.4,,122,102,2019-20
194,Serge Ibaka,C,30,TOR,11,0,251,12.2,21.2,.573,4.4,8.7,.511,7.7,12.5,.615,2.7,2.7,1.000,3.3,13.1,16.4,2.5,0.4,2.7,2.3,5.2,31.4,,127,101,2019-20
195,Stanley Johnson,PF,23,TOR,3,0,20,12.1,26.6,.455,4.8,12.1,.400,7.3,14.5,.500,2.4,2.4,1.000,2.4,7.3,9.7,14.5,0.0,0.0,2.4,7.3,31.5,,125,109,2019-20
196,Kyle Lowry,PG,33,TOR,11,11,413,7.3,17.4,.419,2.7,8.4,.319,4.6,8.9,.513,5.6,7.0,.800,0.9,7.5,8.4,7.5,2.2,0.9,3.3,4.7,22.9,,110,103,2019-20
197,Malcolm Miller,SF,26,TOR,1,0,5,9.7,29.1,.333,9.7,9.7,1.000,0.0,19.4,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,29.1,,94,112,2019-20
198,Norman Powell,SG,26,TOR,11,0,273,9.0,18.4,.490,3.9,9.2,.423,5.1,9.2,.558,4.1,5.1,.793,0.7,3.9,4.6,2.0,1.1,0.5,2.0,5.1,26.1,,115,108,2019-20
199,Pascal Siakam,PF,25,TOR,11,11,418,8.3,21.1,.396,1.2,6.1,.189,7.2,14.9,.481,3.8,5.3,.717,1.6,8.0,9.6,4.9,1.4,0.5,2.5,3.8,21.7,,96,105,2019-20
200,Matt Thomas,SG,25,TOR,10,0,84,7.5,12.1,.619,2.9,6.9,.417,4.6,5.2,.889,0.0,0.0,,0.6,7.5,8.1,4.0,0.6,0.6,0.6,3.5,17.9,,143,107,2019-20
201,Fred VanVleet,SG,25,TOR,11,11,430,8.6,21.4,.400,4.8,12.4,.391,3.7,9.0,.413,2.4,2.8,.840,0.6,4.8,5.4,8.6,2.0,0.8,2.5,3.0,24.3,,110,105,2019-20
202,Paul Watson,SF,25,TOR,2,0,9,5.4,10.8,.500,0.0,0.0,,5.4,10.8,.500,0.0,0.0,,0.0,0.0,0.0,5.4,5.4,0.0,0.0,0.0,10.8,,118,101,2019-20
203,Tony Bradley,C,22,UTA,6,0,48,2.2,9.8,.222,0.0,0.0,,2.2,9.8,.222,5.5,7.7,.714,10.9,14.2,25.1,1.1,2.2,2.2,4.4,4.4,9.8,,98,110,2019-20
204,Jarrell Brantley,PF,23,UTA,2,0,13,0.0,20.2,.000,0.0,12.1,.000,0.0,8.1,.000,4.0,8.1,.500,12.1,4.0,16.1,8.1,0.0,4.0,4.0,16.1,4.0,,66,119,2019-20
205,Jordan Clarkson,SG,27,UTA,7,0,200,11.8,25.5,.464,4.5,12.9,.347,7.3,12.6,.583,2.6,2.6,1.000,0.5,5.8,6.3,3.9,1.6,0.0,1.8,3.9,30.7,,116,120,2019-20
206,Mike Conley,PG,32,UTA,5,5,165,9.9,20.4,.484,5.7,10.8,.529,4.1,9.5,.433,6.0,7.0,.864,1.0,3.5,4.5,8.3,2.5,0.3,1.6,3.2,31.5,,142,119,2019-20
207,Rudy Gobert,C,27,UTA,7,7,270,9.3,14.4,.649,0.0,0.0,,9.3,14.4,.649,4.3,8.2,.524,4.7,10.9,15.5,1.6,0.8,1.9,1.7,5.1,22.9,,129,116,2019-20
208,Joe Ingles,PF,32,UTA,7,7,234,4.9,12.1,.407,3.1,9.0,.350,1.8,3.1,.571,1.3,1.3,1.000,0.2,5.2,5.4,7.4,0.9,0.2,0.9,3.4,14.4,,130,121,2019-20
209,Donovan Mitchell,SG,23,UTA,7,7,264,16.5,31.2,.529,6.6,12.7,.516,9.9,18.5,.538,10.9,11.5,.948,1.2,5.8,7.0,6.8,1.4,0.4,5.8,2.2,50.5,,128,120,2019-20
210,Juwan Morgan,PF,22,UTA,7,2,86,1.8,7.3,.250,1.2,6.1,.200,0.6,1.2,.500,1.2,3.7,.333,3.7,9.2,12.8,3.1,1.2,0.0,0.6,6.7,6.1,,105,118,2019-20
211,Emmanuel Mudiay,PG,23,UTA,3,0,34,7.7,21.6,.357,3.1,4.6,.667,4.6,17.0,.273,1.5,3.1,.500,1.5,7.7,9.3,3.1,0.0,1.5,1.5,0.0,20.1,,95,120,2019-20
212,Georges Niang,PF,26,UTA,7,0,114,10.1,20.3,.500,5.5,13.3,.414,4.6,6.9,.667,0.9,0.9,1.000,1.8,5.1,6.9,1.8,0.0,0.5,0.9,4.1,26.7,,129,123,2019-20
213,Royce O'Neale,SF,26,UTA,7,7,249,2.7,6.7,.406,2.1,4.6,.455,0.6,2.1,.300,0.6,1.3,.500,0.6,7.4,8.0,4.0,1.9,0.4,2.7,5.3,8.2,,100,117,2019-20
214,Miye Oni,SF,22,UTA,2,0,14,11.2,22.5,.500,3.7,15.0,.250,7.5,7.5,1.000,0.0,0.0,,7.5,7.5,15.0,0.0,3.7,3.7,3.7,7.5,26.2,,110,109,2019-20
215,Rayjon Tucker,SG,22,UTA,2,0,11,9.5,23.9,.400,4.8,14.3,.333,4.8,9.5,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.8,23.9,,80,127,2019-20
216,Nigel Williams-Goss,PG,25,UTA,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,26.2,0.0,0.0,0.0,0.0,0.0,,239,127,2019-20
