Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Season
1,Los Angeles Lakers,21,16,5,0.762,14.8,6.2,115.9,108.9,7,97.3,0.293,0.407,0.595,2020
2,Miami Heat,21,14,7,0.667,11.8,9.2,113.5,111.5,2,95.9,0.322,0.433,0.587,2020
3,Boston Celtics,17,10,7,0.588,11.2,5.8,111.3,106.3,5,96.4,0.285,0.429,0.572,2020
4,Denver Nuggets,19,9,10,0.474,8.1,10.9,113.6,116,-2.4,94.1,0.26,0.392,0.584,2020
5,Los Angeles Clippers,13,7,6,0.538,8.2,4.8,115.4,111.1,4.3,98,0.291,0.38,0.585,2020
6,Toronto Raptors,11,7,4,0.636,6.9,4.1,108.3,104.2,4.1,99.1,0.24,0.455,0.559,2020
7,Houston Rockets,12,5,7,0.417,6.3,5.7,108.3,107.5,0.8,98.6,0.235,0.545,0.569,2020
8,Milwaukee Bucks,10,5,5,0.5,5.4,4.6,109.7,108.5,1.2,100.3,0.279,0.426,0.568,2020
9,Oklahoma City Thunder,7,3,4,0.429,2.1,4.9,102.4,108.7,-6.3,100.1,0.281,0.428,0.542,2020
10,Utah Jazz,7,3,4,0.429,4.2,2.8,122.2,118.5,3.7,91.5,0.284,0.455,0.616,2020
11,Dallas Mavericks,6,2,4,0.333,1.5,4.5,112.7,122,-9.3,102.1,0.297,0.421,0.58,2020
12,Orlando Magic,5,1,4,0.2,1.2,3.8,102.5,111.3,-8.8,104.4,0.237,0.449,0.547,2020
13,Portland Trail Blazers,5,1,4,0.2,1,4,104.6,115,-10.4,101.9,0.283,0.347,0.537,2020
14,Brooklyn Nets,4,0,4,0,0.3,3.7,102.2,122,-19.8,103.5,0.268,0.504,0.518,2020
15,Indiana Pacers,4,0,4,0,0.8,3.2,104.2,115.1,-10.9,96.7,0.252,0.399,0.565,2020
16,Philadelphia 76ers,4,0,4,0,0.7,3.3,105.5,117.9,-12.4,95.2,0.381,0.36,0.512,2020
1,Toronto Raptors,24,16,8,0.667,16.2,7.8,110,104.4,5.6,96,0.275,0.406,0.561,2019
2,Golden State Warriors,22,14,8,0.636,13.3,8.7,115.3,111.9,3.4,98.1,0.282,0.38,0.589,2019
3,Milwaukee Bucks,15,10,5,0.667,11.4,3.6,111.1,102.5,8.6,100.1,0.317,0.431,0.56,2019
4,Portland Trail Blazers,16,8,8,0.5,7.3,8.7,110.6,112,-1.4,96,0.274,0.363,0.541,2019
5,Denver Nuggets,14,7,7,0.5,7.8,6.2,114.4,112.5,1.9,92.6,0.279,0.308,0.538,2019
6,Philadelphia 76ers,12,7,5,0.583,7.2,4.8,109.9,106.8,3.1,98.9,0.301,0.331,0.559,2019
7,Houston Rockets,11,6,5,0.545,6.6,4.4,110.9,107.6,3.3,97,0.29,0.51,0.574,2019
8,Boston Celtics,9,5,4,0.556,4.1,4.9,102.2,103.6,-1.4,99.9,0.288,0.392,0.539,2019
9,San Antonio Spurs,7,3,4,0.429,3.1,3.9,112.4,114.5,-2.1,91.9,0.27,0.233,0.542,2019
10,Los Angeles Clippers,6,2,4,0.333,1.4,4.6,111.5,121,-9.5,102.9,0.323,0.355,0.563,2019
11,Brooklyn Nets,5,1,4,0.2,1.1,3.9,106.7,117.3,-10.6,104.4,0.319,0.372,0.534,2019
12,Oklahoma City Thunder,5,1,4,0.2,1.6,3.4,105.4,111.2,-5.8,99.9,0.295,0.365,0.541,2019
13,Orlando Magic,5,1,4,0.2,0.6,4.4,96.2,111.2,-15,95.7,0.267,0.419,0.496,2019
14,Utah Jazz,5,1,4,0.2,1.1,3.9,99.2,108.5,-9.3,98.6,0.296,0.414,0.501,2019
15,Detroit Pistons,4,0,4,0,0.2,3.8,96.8,120.2,-23.4,101.3,0.171,0.344,0.471,2019
16,Indiana Pacers,4,0,4,0,1,3,96.3,104.2,-7.9,95.3,0.246,0.356,0.496,2019